"strains.ID_strains","strains.Culture collection no.","strains.Species","strains.Strain Designation","strains_tax_PNU.Species","strains_tax_PNU.Full Scientific Name (LPSN)","strains_tax_PNU.ID_reference","strains_taxid.tax_id","strains_taxid.tax_level","culture_temp.Temperature","culture_temp.ID_reference","culture_pH.pH","culture_pH.ID_reference","met_antibiogram_v2.Incubation temperature [°C]","met_antibiogram_v2.Oxygen condition","met_antibiogram_v2.ID_reference","oxygen_tolerance.Oxygen tolerance","oxygen_tolerance.ID_reference","nutrition_type.Nutrition type","nutrition_type.ID_reference","sequence_genomes.INSDC accession","sequence_genomes.BV-BRC accession","sequence_genomes.IMG accession","sequence_genomes.ID_reference","GC_content.GC-content","GC_content.ID_reference"
133335,"KACC 17666, JCM 19528","Aquimarina versatilis","CBA3207","Aquimarina versatilis","Aquimarina versatilis Lee et al. 2017",20215,1417658,"species","25.0-30.0",25172,"7.0-7.5",25172,NA,NA,NA,"aerobe",25172,"chemoorganotroph",25172,"",NA,NA,NA,"38.8",25172
166171,"BCRC 81010, KCTC 52441","Aquincola rivuli","KYPY4","Rubrivivax rivuli","Rubrivivax rivuli (Sheu et al. 2019) Liu et al. 2023",20215,1862385,"species","25-40",67963,"6.5-7.5",67963,NA,NA,NA,"aerobe",67963,"chemoheterotroph",67963,"GCA_004016505",1862385.4,2881028243,66792,"70.1",67963
166366,"KCTC 72002, NBRC 114071","Arenibacter lacus","JC631","Arenibacter lacus","Arenibacter lacus Kumar et al. 2020",20215,2608629,"species","20-40",68316,"6-10",68316,NA,NA,NA,"obligate aerobe",68316,"chemoorganoheterotroph",68316,"GCA_008711145",2608629.3,2891826598,68316,"40.8",68316
132622,"DSM 26556, LMG 29166","Arenimicrobium luteum","Ac_12_G8","Arenimicrobium luteum","Arenimicrobium luteum Wüst et al. 2016",20215,1560324,"species","28.0-44.6",43144,"3.5-9.5",43144,NA,NA,NA,"obligate aerobe",43144,"chemoorganoheterotroph",43144,"",NA,NA,NA,"66.9",24411
158725,"JCM 32184, MTCC 12637, KCTC 33880","Bacillus alkalilacus","AK73","Alkalihalobacillus alkalilacus","Alkalihalobacillus alkalilacus (Singh et al. 2018) Gupta et al. 2020",20215,1983720,"species","15-42",65472,"7-12",65472,NA,NA,NA,"aerobe",65472,"chemoorganotroph",65472,"",NA,NA,NA,"54",65472
132385,"DSM 28970, JCM 30397","Bacillus ectoiniformans","NE-14","Bacillus ectoiniformans","Bacillus ectoiniformans Zhu et al. 2016",20215,1494429,"species","10-45",43774,"6-10",43774,NA,NA,NA,"facultative anaerobe",43774,"chemoorganotroph",43774,"GCA_016908875",1494429.3,2901210109,66792,"39.2",24174
164467,"JCM 33158, CCAM 530, KCTC 15783","Biomaibacter acetigenes","SK-G1","Biomaibacter acetigenes","Biomaibacter acetigenes Zhang et al. 2019",20215,2316383,"species","55",67770,"6.0-8.5",68047,NA,NA,NA,"anaerobe",68047,"chemoorganotroph",68047,"GCA_003691585",2316383.3,2893925626,66792,"43.9",67770
1786,"DSM 9653, CCUG 55771, ATCC 700366","Bosea thiooxidans","BI-42","Bosea thiooxidans","Bosea thiooxidans Das et al. 1996",20215,53254,"species","28",3671,"6.0",23322,NA,NA,NA,"facultative aerobe",23322,"chemolithoheterotroph",23322,"GCA_900168195",53254.5,2595698224,66792,"68.2",23322
132620,"DSM 27934, LMG 28618","Brevitalea aridisoli","Ac_11_E3","Brevitalea aridisoli","Brevitalea aridisoli Wüst et al. 2016",20215,1458336,"species","35.4-45.0",43144,"4.7-8.1",43144,NA,NA,NA,"obligate aerobe",43144,"chemoorganoheterotroph",43144,"",NA,NA,NA,"55.9",24409
132621,"DSM 29892, LMG 28995, LMG 29713","Brevitalea deliciosa","Ac_16_C4","Brevitalea deliciosa","Brevitalea deliciosa Wüst et al. 2016",20215,1603870,"species","32.9-37.2",43144,"4.7-9.0",43144,NA,NA,NA,"obligate aerobe",43144,"chemoorganoheterotroph",43144,"",NA,NA,NA,"54.7",24410
141,"DSM 22489, LMG 25276, SN 10","Bryocella elongata","","Bryocella elongata","Bryocella elongata Dedysh et al. 2012",20215,863522,"species","20",16359,"3.2",23106,NA,NA,NA,"aerobe",23106,"chemoorganotroph",23106,"GCA_900108185",863522.6,2684622995,66792,"60.7",16359
18028,"DSM 18901, VKM B-2411, NBRC 117220","Caldicellulosiruptor hydrothermalis","108","Caldicellulosiruptor hydrothermalis","Caldicellulosiruptor hydrothermalis Miroshnichenko et al. 2008",20215,413888,"species","65",7610,"06-08",32271,NA,NA,NA,"anaerobe",7610,"chemoorganoheterotroph",28511,"GCA_000166355",632292.3,649633022,66792,"36.4",7610
18029,"DSM 18902, VKM B-2412, NBRC 117221","Caldicellulosiruptor kronotskyensis","2002","Caldicellulosiruptor kronotskyensis","Caldicellulosiruptor kronotskyensis Miroshnichenko et al. 2008",20215,413889,"species","70",7611,"06-08",32271,NA,NA,NA,"anaerobe",7611,"chemoorganoheterotroph",28511,"GCA_000166775",632348.3,649633024,66792,"35.1",7611
140656,"ATCC BAA-2073, JCM 16842","Caldicellulosiruptor obsidiansis","OB47","Caldicellulosiruptor obsidiansis","Caldicellulosiruptor obsidiansis Hamilton-Brehm et al. 2010",20215,717609,"species","78",43401,"5-8",43401,NA,NA,NA,"obligate anaerobe",43401,"chemoorganoheterotroph",43401,"GCA_000145215",608506.3,648028013,66792,"35.2",43401
18027,"DSM 13100, ATCC 700167","Caldicellulosiruptor owensensis","OL","Caldicellulosiruptor owensensis","Caldicellulosiruptor owensensis Huang et al. 1998",20215,55205,"species","70",4904,"5.5-9",43370,NA,NA,NA,"anaerobe",4904,"chemoorganotroph",43370,"GCA_000166335",632518.3,649633025,66792,"36.6",4904
132490,"DSM 29380, NBRC 110713","Caldimicrobium thiodismutans","TF1","Caldimicrobium thiodismutans","Caldimicrobium thiodismutans Kojima et al. 2016",20215,1653476,"species","40-77",43669,"5.9-9.5",43669,NA,NA,NA,"anaerobe",43669,"chemoautolithotroph",43669,"GCA_001548275",1653476.1,2751185666,66792,"38.3",43669
